,ECO,OIL,SP500,PSE,RATE
2011-02-16,113.91,84.98999786376953,1336.3199462890625,1179.199951171875,0.12
2011-02-23,107.26,98.0999984741211,1307.4000244140625,1124.8399658203125,0.12
2011-03-02,106.76,102.2300033569336,1308.43994140625,1139.449951171875,0.13
2011-03-09,104.53,104.37999725341797,1320.02001953125,1139.989990234375,0.1
2011-03-16,101.47,97.9800033569336,1256.8800048828125,1083.989990234375,0.1
2011-03-23,103.97,105.75,1297.5400390625,1112.1099853515625,0.09
2011-03-30,108.69,104.2699966430664,1328.260009765625,1152.199951171875,0.1
2011-04-06,107.24,108.83000183105469,1335.5400390625,1154.489990234375,0.06
2011-04-13,101.93,107.11000061035156,1314.4100341796875,1147.3499755859375,0.06
2011-04-20,101.87,111.44999694824219,1330.3599853515625,1174.22998046875,0.06
2011-04-27,103.31,112.76000213623047,1355.6600341796875,1200.719970703125,0.06
2011-05-04,99.17,109.23999786376953,1347.3199462890625,1175.3800048828125,0.03
2011-05-11,98.28,98.20999908447266,1342.0799560546875,1189.3199462890625,0.03
2011-05-18,96.77,100.0999984741211,1340.6800537109375,1184.469970703125,0.05
2011-05-25,93.19,101.31999969482422,1320.469970703125,1163.9300537109375,0.06
2011-06-01,93.67,100.29000091552734,1314.550048828125,1166.4300537109375,0.05
2011-06-08,88.79,100.73999786376953,1279.56005859375,1129.6300048828125,0.04
2011-06-15,87.38,94.80999755859375,1265.4200439453125,1113.3599853515625,0.05
2011-06-22,88.35,95.41000366210938,1287.1400146484375,1127.72998046875,0.02
2011-06-29,89.76,94.7699966430664,1307.4100341796875,1153.699951171875,0.02
2011-07-06,90.82,96.6500015258789,1339.219970703125,1193.6800537109375,0.01
2011-07-13,87.84,98.05000305175781,1317.719970703125,1163.5799560546875,0.01
2011-07-20,86.73,98.13999938964844,1325.8399658203125,1178.4200439453125,0.02
2011-07-27,83.82,97.4000015258789,1304.8900146484375,1147.5999755859375,0.08
2011-08-03,80.08,91.93000030517578,1260.3399658203125,1110.6500244140625,0.02
2011-08-10,68.17,82.88999938964844,1120.760009765625,984.9000244140625,0.02
2011-08-17,72.06,87.58000183105469,1193.8900146484375,1033.9000244140625,0.01
2011-08-24,69.5,85.16000366210938,1177.5999755859375,1014.1900024414062,0.02
2011-08-31,73.02,88.80999755859375,1218.8900146484375,1058.0400390625,0.02
2011-09-07,70.22,89.33999633789062,1198.6199951171875,1039.81005859375,0.02
2011-09-14,68.99,88.91000366210938,1188.6800537109375,1048.0699462890625,0.01
2011-09-21,62.1,85.91999816894531,1166.760009765625,1038.6500244140625,0.01
2011-09-28,58.31,81.20999908447266,1151.06005859375,1026.8499755859375,0.02
2011-10-05,56.14,79.68000030517578,1144.030029296875,1023.25,0.0
2011-10-12,59.18,85.56999969482422,1207.25,1074.8699951171875,0.02
2011-10-19,57.68,86.11000061035156,1209.8800048828125,1073.56005859375,0.03
2011-10-26,59.03,90.19999694824219,1242.0,1104.31005859375,0.02
2011-11-02,59.61,92.51000213623047,1237.9000244140625,1105.6099853515625,0.01
